Mod_level,Prime_word,Target,Category,correct_response,word_length
unrelated,NOIR,NUTS,natural,N,4
exact,NUTS,NUTS,natural,N,4
one_modification,^/UTS,NUTS,natural,N,4
two_modifications,NU75,NUTS,natural,N,4
unrelated,RUNE,RAIN,natural,N,4
exact,RAIN,RAIN,natural,N,4
one_modification,R4IN,RAIN,natural,N,4
two_modifications,RA1^/,RAIN,natural,N,4
unrelated,RIGHT,SHEEP,natural,N,5
exact,SHEEP,SHEEP,natural,N,5
one_modification,SHEE|*,SHEEP,natural,N,5
two_modifications,SH33P,SHEEP,natural,N,5
unrelated,SHOE,WALL,manmade,M,4
exact,WALL,WALL,manmade,M,4
one_modification,W4LL,WALL,manmade,M,4
two_modifications,\\/\\/4LL,WALL,manmade,M,4
unrelated,BATH,BALL,manmade,M,4
exact,BALL,BALL,manmade,M,4
one_modification,I3ALL,BALL,manmade,M,4
two_modifications,B411,BALL,manmade,M,4
unrelated,HOME,COAT,manmade,M,4
exact,COAT,COAT,manmade,M,4
one_modification,[OAT,COAT,manmade,M,4
two_modifications,C04T,COAT,manmade,M,4
unrelated,FROG,LAMP,manmade,M,4
exact,LAMP,LAMP,manmade,M,4
one_modification,LAM|*,LAMP,manmade,M,4
two_modifications,L4M|*,LAMP,manmade,M,4
unrelated,KNEE,CAKE,manmade,M,4
exact,CAKE,CAKE,manmade,M,4
one_modification,CAK3,CAKE,manmade,M,4
two_modifications,[AK3,CAKE,manmade,M,4
unrelated,BIRDS,APPLE,natural,N,5
exact,APPLE,APPLE,natural,N,5
one_modification,A|*PLE,APPLE,natural,N,5
two_modifications,4PPL3,APPLE,natural,N,5
unrelated,MOOSE,TRUCK,manmade,M,5
exact,TRUCK,TRUCK,manmade,M,5
one_modification,TR(_)CK,TRUCK,manmade,M,5
two_modifications,TI2UC>|,TRUCK,manmade,M,5
unrelated,TRICK,BREAD,manmade,M,5
exact,BREAD,BREAD,manmade,M,5
one_modification,BR3AD,BREAD,manmade,M,5
two_modifications,I3RE4D,BREAD,manmade,M,5
unrelated,APLE,TOOL,manmade,M,4
exact,TOOL,TOOL,manmade,M,4
one_modification,TOO1,TOOL,manmade,M,4
two_modifications,T00L,TOOL,manmade,M,4
unrelated,BUNS,LIST,manmade,M,4
exact,LIST,LIST,manmade,M,4
one_modification,LI$T,LIST,manmade,M,4
two_modifications,LI$7,LIST,manmade,M,4
unrelated,BREAD,PAGE,manmade,M,4
exact,PAGE,PAGE,manmade,M,4
one_modification,|*AGE,PAGE,manmade,M,4
two_modifications,P46E,PAGE,manmade,M,4
unrelated,MOUSE,WATER,natural,N,5
exact,WATER,WATER,natural,N,5
one_modification,W4TER,WATER,natural,N,5
two_modifications,W4T3R,WATER,natural,N,5
unrelated,DRUM,DUCK,natural,N,4
exact,DUCK,DUCK,natural,N,4
one_modification,)UCK,DUCK,natural,N,4
two_modifications,)U[K,DUCK,natural,N,4
unrelated,BREAD,DOGS,natural,N,4
exact,DOGS,DOGS,natural,N,4
one_modification,DOG5,DOGS,natural,N,4
two_modifications,)OG5,DOGS,natural,N,4
unrelated,DOOR,WOLF,natural,N,4
exact,WOLF,WOLF,natural,N,4
one_modification,\\/\\/OLF,WOLF,natural,N,4
two_modifications,WO1|=,WOLF,natural,N,4
unrelated,TOYS,BIRD,natural,N,4
exact,BIRD,BIRD,natural,N,4
one_modification,B1RD,BIRD,natural,N,4
two_modifications,I3IR),BIRD,natural,N,4
unrelated,ROCK,PONY,natural,N,4
exact,PONY,PONY,natural,N,4
one_modification,|*ONY,PONY,natural,N,4
two_modifications,P0ИY,PONY,natural,N,4
